timestamp,http_code,http_connect,time_namelookup,time_connect,time_pretransfer,time_starttransfer,size_download,speed_download,time_total,num_redirects,url_effective,curl_exit_code,url
Nov 03 00:07:20,200,000,0.531,0.826,0.826,1.123,32418,11227.000,2.887,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 00:17:47,200,000,1.521,1.812,1.812,2.135,32418,8323.000,3.895,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 00:27:53,200,000,0.257,0.560,0.560,0.862,32418,12168.000,2.664,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 00:38:01,200,000,1.514,1.812,1.813,2.167,32418,8195.000,3.956,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 00:48:09,200,000,0.510,0.804,0.806,1.107,32418,11294.000,2.870,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 00:58:16,200,000,0.510,0.797,0.797,1.127,32418,11338.000,2.859,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 01:08:23,200,000,1.516,1.817,1.818,2.120,32418,8242.000,3.933,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 01:18:30,200,000,1.515,1.818,1.818,2.153,32418,8247.000,3.931,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 01:28:37,200,000,1.520,1.823,1.823,2.128,32418,8213.000,3.947,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 01:38:44,200,000,1.517,1.818,1.818,2.304,32418,7892.000,4.107,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 01:48:53,200,000,1.521,1.812,1.812,2.104,32418,8432.000,3.845,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 01:59:01,200,000,1.516,1.805,1.806,2.109,32418,8479.000,3.823,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 02:09:08,200,000,0.510,0.814,0.814,1.116,32418,11033.000,2.938,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 02:19:16,200,000,1.513,1.804,1.804,2.101,32418,8409.000,3.855,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 02:29:24,200,000,1.518,1.811,1.811,2.108,32418,8358.000,3.879,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 02:39:33,200,000,0.262,0.558,0.558,0.883,32418,12152.000,2.668,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 02:49:40,200,000,1.515,1.819,1.819,2.121,32418,8246.000,3.931,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 02:59:47,200,000,1.513,1.821,1.821,2.144,32418,8161.000,3.972,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 03:09:56,200,000,0.267,0.568,0.568,0.888,32418,12028.000,2.695,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 03:20:02,200,000,1.513,1.816,1.816,2.148,32418,8176.000,3.965,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 03:30:11,200,000,0.512,0.822,0.822,1.152,32418,10748.000,3.016,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 03:40:17,200,000,0.511,0.819,0.819,1.128,32418,10866.000,2.983,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 03:50:23,200,000,1.515,1.811,1.811,2.139,32418,8357.000,3.879,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 04:00:32,200,000,0.518,0.820,0.820,1.133,32418,10982.000,2.952,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 04:10:39,200,000,1.524,1.816,1.816,2.161,32418,8277.000,3.916,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 04:21:05,200,000,1.512,1.825,1.825,2.137,32418,8087.000,4.008,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 04:31:22,200,000,1.515,1.803,1.803,2.128,32418,8405.000,3.857,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 04:41:30,200,000,1.515,1.802,1.802,2.090,32418,8495.000,3.816,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 04:51:36,200,000,0.512,0.810,0.810,1.140,32418,11040.000,2.936,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 05:02:03,200,000,0.527,0.817,0.817,1.107,32418,11383.000,2.848,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 05:12:09,200,000,1.513,1.802,1.803,2.122,32418,8412.000,3.854,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 05:22:17,200,000,0.511,0.808,0.808,1.106,32418,11237.000,2.885,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 05:32:24,200,000,1.512,1.821,1.821,2.207,32418,7954.000,4.075,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 05:42:32,200,000,0.513,0.802,0.802,1.091,32418,11491.000,2.821,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 05:52:38,200,000,1.512,1.804,1.804,2.125,32418,8389.000,3.864,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 06:02:46,200,000,0.510,0.807,0.807,1.105,32418,11208.000,2.892,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 06:12:53,200,000,1.517,1.824,1.824,2.158,32418,8099.000,4.003,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 06:23:01,200,000,0.511,0.819,0.820,1.129,32418,10836.000,2.992,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 06:33:07,200,000,0.004,0.304,0.304,0.629,32418,13340.000,2.430,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 06:43:14,200,000,0.514,0.813,0.813,1.111,32418,11207.000,2.893,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 06:53:21,200,000,0.517,0.808,0.808,1.137,32418,11205.000,2.893,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 07:03:28,200,000,0.510,0.816,0.816,1.123,32418,10965.000,2.956,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 07:13:34,200,000,0.511,0.809,0.809,1.124,32418,11178.000,2.900,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 07:23:41,200,000,0.514,0.812,0.813,1.111,32418,11123.000,2.914,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 07:33:47,200,000,1.520,1.822,1.822,2.144,32418,8236.000,3.936,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 07:43:54,200,000,0.522,0.828,0.828,1.127,32418,11093.000,2.922,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 07:54:00,200,000,0.512,0.815,0.815,1.160,32418,10879.000,2.980,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 08:04:08,200,000,1.513,1.817,1.817,2.130,32418,8235.000,3.936,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 08:14:16,200,000,0.510,0.817,0.817,1.131,32418,10925.000,2.967,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 08:24:23,200,000,0.512,0.814,0.814,1.118,32418,11065.000,2.930,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 08:34:31,200,000,1.520,1.816,1.816,2.140,32418,8271.000,3.919,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
Nov 03 08:44:39,200,000,1.520,1.849,1.849,2.177,32418,7753.000,4.181,0,http://www.net24.co.nz/web-hosting/linux/,,www.net24.co.nz/web-hosting/linux/
